Euribor 1a,2013,2014,2015,2016,2017,2018,2019
janvier,0.575,0.562,0.298,0.042,-0.095,-0.189,-0.116
fevrier,0.594,0.549,0.255,-0.008,-0.106,-0.191,-0.108
mars,0.545,0.577,0.212,-0.012,-0.11,-0.191,-0.109
avril,0.528,0.604,0.18,-0.01,-0.119,-0.19,-0.112
mai,0.485,0.592,0.165,-0.013,-0.127,-0.188,-0.134
juin,0.507,0.513,0.163,-0.028,-0.149,-0.181,-0.19
juillet,0.525,0.488,0.167,-0.056,-0.154,-0.18,-0.283
aout,0.542,0.469,0.161,-0.048,-0.156,-0.169,-0.332
septembre,0.543,0.362,0.154,-0.057,-0.168,-0.166,
octobre,0.541,0.338,0.128,-0.069,-0.18,-0.154,
novembre,0.506,0.335,0.079,-0.074,-0.189,-0.147,
decembre,0.543,0.329,0.059,-0.08,-0.19,-0.129,
