euribor 3m,2013,2014,2015,2016,2017,2018,2019
janvier,0.205,0.292,0.063,-0.146,-0.326,-0.328,-0.308
f\'vrier,0.223,0.288,0.048,-0.184,-0.329,-0.329,-0.308
mars,0.206,0.305,0.027,-0.229,-0.329,-0.328,-0.309
avril,0.209,0.33,0.005,-0.249,-0.33,-0.328,-0.31
mai,0.201,0.325,-0.01,-0.257,-0.329,-0.325,-0.312
juin,0.21,0.241,-0.014,-0.268,-0.33,-0.322,-0.329
juillet,0.221,0.205,-0.019,-0.295,-0.33,-0.321,-0.365
aout,0.226,0.192,-0.028,-0.298,-0.329,-0.319,-0.393
septembre,0.223,0.097,-0.037,-0.302,-0.329,-0.319,
octobre,0.226,0.083,-0.054,-0.309,-0.33,-0.318,
novembre,0.223,0.081,-0.088,-0.313,-0.329,-0.316,
d\'cembre,0.273,0.081,-0.126,-0.316,-0.328,-0.312,
